source,target
yersumi,susipudjiastuti
Darni56848597,ARH1924_New
Darni56848597,NewsMuslimah
otephhh,susipudjiastuti
SSyuban,susipudjiastuti
leetyong__,BigAlphaID
rchznl,BigAlphaID
bintangisa,BigAlphaID
bintangisa,Dandhy_Laksono
shi_mbok,susipudjiastuti
lepank21,BigAlphaID
nganhwa_wang,susipudjiastuti
amesoraya,BigAlphaID
amesoraya,jek___
aankajah,susipudjiastuti
aankajah,_KingPurwa
aankajah,podoradong
sevens7ring,susipudjiastuti
sevens7ring,andriewiwi ezash aniesbaswedan
TalaohuB,susipudjiastuti
gamapila,BigAlphaID
MadeSuardana,BigAlphaID
quitditch,BigAlphaID
KoesnoRini,ARH1924_New
KoesnoRini,NewsMuslimah
inMwetrust,danieRobin
kyrovch,BigAlphaID
yoris_ab,DTanjung15
yoris_ab,susipudjiastuti
berrsabda,susipudjiastuti
Gunawan44250492,piiee08
Gunawan44250492,ovan_ghozali1
firhandefa,susipudjiastuti
firhandefa,BigAlphaID
junvocado,BigAlphaID
Dimas_Adye,susipudjiastuti
Dimas_Adye,Dennysiregar7
Dimas_Adye,dickyrevolution susipudjiastuti
EmmaOctv,BigAlphaID
djumariraja,susipudjiastuti
ayuketaren,BigAlphaID
duta_kurniawan,podoradong
duta_kurniawan,podoradong
duta_kurniawan,podo_ora_dong
duta_kurniawan,_KingPurwa
duta_kurniawan,AdhieMassardi
duta_kurniawan,LexWu13
duta_kurniawan,susipudjiastuti
rzkiprutzzz,detikcom
ireniwho,BigAlphaID
liantokate,BigAlphaID
hnnarch,BigAlphaID
namsaeinwho,BigAlphaID
zizirin,BigAlphaID
ochotootmors,BigAlphaID
Gder2Indra,podoradong
Gder2Indra,susipudjiastuti
Nis_inwafer,susipudjiastuti
uovasode,BigAlphaID
myidviri,susipudjiastuti
teukheiboo,BigAlphaID
RealHD0310,BPJSTKinfo jokowi KemnakerRI
wonundaeyo,BigAlphaID
Krystalove13_,BigAlphaID
potatoheal,BigAlphaID
salmonpieberry,BigAlphaID
kwonhoshxx,BigAlphaID
Rizkihadi,BigAlphaID
idofiandika,susipudjiastuti
CepiCepot83,Berkarya_Info
CepiCepot83,Morknight1
CepiCepot83,podoradong
CepiCepot83,podoradong
BigAlphaID,LoopJoke
rahminova2,susipudjiastuti
rahminova2,zarazettirazr
rahminova2,podoradong
rahminova2,Berkarya_Info
rahminova2,dapitnih
MalesGanteng,susipudjiastuti
edhi_shi,aewin86
kikilicious_,susipudjiastuti
KemotThe,podoradong
KemotThe,LexWu13
prilcila,susipudjiastuti
rahmaniarbaftim,JamalBoegis
rahmaniarbaftim,geloraco
_doncorleone_78,Morknight1
_doncorleone_78,CatatanAli07
_doncorleone_78,MattRai3 CatatanAli07 _doncorleone_78 aniesbaswedan ridwankamil
_doncorleone_78,CatatanAli07
kenn_maizz,ovan_ghozali1
abdillah_85,susipudjiastuti
andJust63051101,susipudjiastuti susipudjiastuti
Rahmatsaad31,NewsMuslimah
Rahmatsaad31,ARH1924_New
Rahmatsaad31,rajawalimataram
Rahmatsaad31,ARH1924_New
NeldaSihotang,susipudjiastuti
ipuds,susipudjiastuti
cicitdatuakLBH,dapitnih
cicitdatuakLBH,susipudjiastuti
BaraTerpendam,susipudjiastuti
BaraTerpendam,KemenkeuRI
kompascom,kompasiana
kompascom,kompasiana
kompascom,kompasiana
kompascom,kompasiana
adiscube,detikcom
zhonda,susipudjiastuti
akunsudi,gHormatKulas binbin_ft willy_soeharly PRDIndonesia AlifKamal__ PenistaOligarki Coffee4Souls
akunsudi,detikcom
akunsudi,CNNIndonesia
akunsudi,KATADATAcoid
akunsudi,cnbcindonesia
akunsudi,habiburokhman
akunsudi,LokadataID
akunsudi,kumparan
akunsudi,susipudjiastuti
priyankaairin,susipudjiastuti
Facenonmoon,susipudjiastuti
Facenonmoon,podoradong
