source,target
OrangWaras_2020,GusMaulana16 lalanangjagat69
lalanangjagat69,GusMaulana16 OrangWaras_2020
lalanangjagat69,RoellyRosuli
GusMaulana16,MrsRachelIn
GusMaulana16,OrangWaras_2020 lalanangjagat69
GusMaulana16,MrsRachelIn
deensdaily,WikiDPR
jojoe_gaza,geloraco
ahqidtyasp,AgusYudhoyono
Wordgasmyc,xxuntitledp
BanasPaijo,Yani73044989 CemenRezim darwinisofianti RiniYun36882153 aniesbaswedan BangAriza DKIJakarta
tintasiyasi_id,JasSastra
natassssssya,sitililitt printilanday6
quintta1217,KakekHalal Bengkeltanah1 jokowi PerekonomianRI airlangga DKIJakarta
quintta1217,Nadjib_178 amanidelm2nd
quintta1217,Pencerah__
Burakos7,ChatibBasri
Burakos7,ChristWamea aksialfatih
sibaranm2,drpriono1 KemenkesRI jokowi
Sopian38997820,Dennysiregar7 aniesbaswedan ridwankamil
Sopian38997820,Dennysiregar7 jokowi aniesbaswedan
Vanyudha2,Waras4ever msaid_didu
lumbalumba_ijo,surelynoturtype tahunbaru2020 timah29
colamilochim,ZeroNamjin
edor4h4,podoradong
CakBambangelf,kokokdirgantoro
dsr004,fadjroeL JubirPresidenRI jokowi
Hendri_Mantis,AgusYudhoyono PDemokrat
jumrianii_,geloraco
nasirltp,duha_putrawan
Lentera18150745,Jims_Talona amberrein77 carolinewiyono Dennysiregar7 aniesbaswedan ridwankamil
ntie_wijaya,MMC_IDN
AgungPr86423327,geloraco aniesbaswedan
Hirman08,dapitnih
Hirman08,TofaTofa_id
fa_khadijah,YouTube
jodohnyamarkeuu,Pak_GuruSD Arnolduswea_ qcecan
jodohnyamarkeuu,GiveawayWoy
SalmaBrecht,AirinAirin_NZ
bawono_geo,lintang_ayoe 04_adisetiawan retno_setyowat
TantanPratama13,suarbudaya VeronicaKoman
fiqriachmada,sbyfess
iwanwafii,ridwanhr
SunshineHolySun,Alterthingy_
hapeproperti,Dennysiregar7 DKIJakarta aniesbaswedan
hapeproperti,ChusnulSyantik
hapeproperti,KompasTV
kucinggabut,squidwardfess
dswidjaya02,jokowi
